sample_ID	TCGA-BH-A0B9-T	TCGA-EW-A1P4-N	TCGA-D8-A27F-T	TCGA-A2-A0YE-N	TCGA-AR-A1AY-T	TCGA-AR-A0TS-N	TCGA-AR-A0TS-T	TCGA-BH-A0BL-N	TCGA-A2-A1G6-N	TCGA-A2-A3XX-T	TCGA-OL-A5D6-T	TCGA-AR-A256-N	TCGA-D8-A1JG-N	TCGA-C8-A12K-T	TCGA-AR-A1AI-T	TCGA-AO-A128-T	TCGA-E2-A1LH-N	TCGA-PL-A8LZ-T	TCGA-A1-A0SK-N	TCGA-A2-A0D0-T	TCGA-AR-A1AQ-T	TCGA-EW-A1PH-T	TCGA-A2-A0SX-T	TCGA-BH-A0WA-N	TCGA-A1-A0SP-N	TCGA-HN-A2NL-T	TCGA-A2-A0CM-T	TCGA-AR-A5QQ-T	TCGA-C8-A3M7-N	TCGA-C8-A134-T	TCGA-C8-A3M7-T	TCGA-A8-A07O-N	TCGA-OL-A66P-N	TCGA-AO-A0J2-T	TCGA-AC-A2QH-T	TCGA-D8-A1JL-T	TCGA-S3-AA10-T	TCGA-E2-A1AZ-T	TCGA-E9-A1RH-N	TCGA-C8-A27B-N	TCGA-D8-A27H-T	TCGA-A2-A3XU-T	TCGA-E2-A158-T	TCGA-A8-A08R-N	TCGA-C8-A26Y-T	TCGA-AR-A1AH-T	TCGA-A7-A4SE-T	TCGA-AR-A0TU-N	TCGA-A7-A0CE-N	TCGA-A2-A0T2-N	TCGA-B6-A0RS-T	TCGA-AC-A8OQ-N	TCGA-A2-A0T0-T	TCGA-E9-A244-N	TCGA-A7-A4SD-T	TCGA-AO-A03U-N	TCGA-A7-A5ZV-N	TCGA-AN-A0XU-N	TCGA-EW-A1P7-T	TCGA-E2-A573-N	TCGA-GM-A2DB-N	TCGA-C8-A12V-N	TCGA-AR-A1AR-N	TCGA-AR-A0U0-N	TCGA-EW-A1P4-T	TCGA-A2-A0CM-N	TCGA-EW-A1PB-N	TCGA-AO-A12F-N	TCGA-EW-A1P7-N	TCGA-GM-A2DB-T	TCGA-AR-A0U4-N	TCGA-A1-A0SP-T	TCGA-S3-AA10-N	TCGA-D8-A1XK-T	TCGA-A7-A6VY-T	TCGA-LL-A740-T	TCGA-OL-A97C-T	TCGA-B6-A0WX-N	TCGA-A7-A6VW-N	TCGA-AO-A0J6-N	TCGA-BH-A0AV-T	TCGA-AN-A0AT-T	TCGA-D8-A1JL-N	TCGA-D8-A1JF-N	TCGA-D8-A27H-N	TCGA-C8-A1HJ-T	TCGA-E2-A574-T	TCGA-B6-A0IE-N	TCGA-A7-A26G-N	TCGA-A8-A08R-T	TCGA-LL-A73Y-T	TCGA-C8-A27B-T	TCGA-OL-A66I-T	TCGA-E2-A158-N	TCGA-OL-A66I-N	TCGA-A2-A04P-T	TCGA-AC-A8OQ-T	TCGA-OL-A5RW-N	TCGA-BH-A0B3-T	TCGA-E9-A22G-N	TCGA-A7-A26I-T	TCGA-B6-A0IQ-T	TCGA-E2-A1LL-N	TCGA-AR-A0TP-N	TCGA-AO-A124-T	TCGA-A7-A5ZV-T	TCGA-E2-A14R-T	TCGA-OL-A5D7-N	TCGA-C8-A12K-N	TCGA-GM-A2DD-N	TCGA-E2-A1LI-N	TCGA-AR-A1AO-T	TCGA-A2-A0EQ-N	TCGA-D8-A1XK-N	TCGA-AN-A04D-N	TCGA-LL-A73Y-N	TCGA-AO-A0J4-N	TCGA-A7-A0DA-T	TCGA-A7-A26I-N	TCGA-B6-A0I2-T	TCGA-A2-A0SX-N	TCGA-D8-A27M-N	TCGA-A8-A07O-T	TCGA-AC-A6IW-N	TCGA-D8-A1JF-T	TCGA-BH-A0E6-N	TCGA-D8-A1XQ-T	TCGA-C8-A134-N	TCGA-D8-A27F-N	TCGA-A2-A04U-N	TCGA-A7-A26F-T	TCGA-E2-A1L7-T	TCGA-BH-A42U-N	TCGA-A2-A3XT-N	TCGA-A2-A04T-T	TCGA-BH-A1EW-N	TCGA-A2-A0D2-T	TCGA-AC-A2QH-N	TCGA-A2-A1G6-T	TCGA-BH-A0BG-T	TCGA-AN-A0AR-N	TCGA-AR-A5QQ-N	TCGA-E2-A574-N	TCGA-AR-A0TU-T	TCGA-B6-A0RS-N	TCGA-BH-A18V-T	TCGA-GM-A3XL-N	TCGA-EW-A1PH-N	TCGA-E9-A1ND-N	TCGA-AR-A1AH-N	TCGA-AQ-A04J-T	TCGA-B6-A0RT-T	TCGA-A7-A0DA-N	TCGA-EW-A1P8-T	TCGA-A2-A3XU-N	TCGA-C8-A131-N	TCGA-BH-A0E0-T	TCGA-AR-A1AY-N	TCGA-A7-A4SD-N	TCGA-A2-A0ST-N	TCGA-BH-A18V-N	TCGA-BH-A1FC-N	TCGA-AR-A2LH-T	TCGA-AR-A0U0-T	TCGA-E9-A1N8-T	TCGA-AN-A0XU-T	TCGA-AO-A03U-T	TCGA-AO-A129-T	TCGA-E2-A1B6-N	TCGA-AO-A1KR-T	TCGA-AN-A0FX-N	TCGA-AO-A1KR-N	TCGA-OL-A5D7-T	TCGA-BH-A18G-N	TCGA-BH-A0B3-N	TCGA-AC-A6IW-T	TCGA-AR-A1AR-T	TCGA-B6-A0RU-N	TCGA-A7-A6VY-N	TCGA-A2-A0T0-N	TCGA-AN-A0AT-N	TCGA-A2-A04T-N	TCGA-D8-A27M-T	TCGA-AR-A1AJ-N	TCGA-EW-A1OV-N	TCGA-OL-A97C-N	TCGA-AN-A0FJ-N	TCGA-AR-A1AI-N	TCGA-AN-A0FX-T	TCGA-D8-A1JG-T	TCGA-E2-A150-T	TCGA-A1-A0SO-N	TCGA-A1-A0SO-T	TCGA-E2-A1LK-N	TCGA-E2-A1LS-T	TCGA-D8-A142-T	TCGA-HN-A2NL-N	TCGA-EW-A1P1-N	TCGA-A7-A4SE-N	TCGA-E2-A1AZ-N	TCGA-A2-A0YM-T	TCGA-E2-A1LH-T	TCGA-B6-A0RU-T	TCGA-AN-A0FL-T	TCGA-PL-A8LZ-N	TCGA-AC-A2BK-N	TCGA-E2-A1LI-T	TCGA-GM-A2DH-N	TCGA-AO-A0J4-T	TCGA-E9-A1N8-N	TCGA-C8-A26X-N	TCGA-A7-A26G-T	TCGA-A7-A0CE-T	TCGA-E2-A1LG-T	TCGA-BH-A18Q-T	TCGA-EW-A1PB-T	TCGA-BH-A0AV-N	TCGA-E2-A159-N	TCGA-AN-A04D-T	TCGA-A2-A04P-N	TCGA-AO-A0J6-T	TCGA-GM-A2DD-T	TCGA-BH-A42U-T	TCGA-AN-A0AL-N	TCGA-E2-A1L7-N	TCGA-E2-A14N-T	TCGA-B6-A0IQ-N	TCGA-OL-A66P-T	TCGA-GM-A2DI-T	TCGA-AN-A0FJ-T	TCGA-AR-A0U4-T	TCGA-PL-A8LV-T	TCGA-A2-A0YM-N	TCGA-D8-A1XQ-N	TCGA-AO-A129-N	TCGA-BH-A0WA-T	TCGA-B6-A0I2-N	TCGA-A7-A26F-N	TCGA-AO-A124-N	TCGA-GM-A2DF-T	TCGA-A2-A0EQ-T	TCGA-C8-A12V-T	TCGA-D8-A142-N	TCGA-AR-A1AQ-N	TCGA-LL-A5YO-N	TCGA-A2-A3XT-T	TCGA-A2-A0T2-T	TCGA-A2-A0ST-T	TCGA-AC-A2BK-T	TCGA-GM-A2DH-T	TCGA-BH-A0BW-N	TCGA-EW-A1P8-N	TCGA-BH-A0E0-N	TCGA-BH-A18Q-N	TCGA-E2-A159-T	TCGA-GM-A3XL-T	TCGA-EW-A1OV-T	TCGA-BH-A0BG-N	TCGA-GM-A2DI-N	TCGA-BH-A0E6-T	TCGA-E9-A1RH-T	TCGA-BH-A1FC-T	TCGA-C8-A26X-T	TCGA-AO-A12F-T	TCGA-C8-A131-T	TCGA-E9-A244-T	TCGA-BH-A18T-N	TCGA-BH-A1EW-T	TCGA-A8-A07C-T	TCGA-BH-A18G-T	TCGA-B6-A0RT-N	TCGA-OL-A6VO-N	TCGA-BH-A0B9-N	TCGA-OL-A6VO-T	TCGA-A7-A6VW-T	TCGA-PL-A8LV-N	TCGA-E2-A14N-N	TCGA-E2-A1LG-N	TCGA-AN-A0AL-T	TCGA-AR-A256-T	TCGA-E9-A5FL-T	TCGA-C8-A26Y-N	TCGA-OL-A5RW-T	TCGA-E9-A5FL-N	TCGA-EW-A1P1-T	TCGA-AN-A0G0-T	TCGA-A1-A0SK-T	TCGA-A2-A0YE-T	TCGA-OL-A5D6-N	TCGA-AR-A1AJ-T	TCGA-E2-A1LS-N	TCGA-AO-A128-N	TCGA-GM-A2DF-N	TCGA-A2-A0D0-N	TCGA-A2-A04U-T	TCGA-AR-A2LR-T	TCGA-E9-A1ND-T	TCGA-A2-A3XX-N	TCGA-AR-A0TP-T	TCGA-E9-A22G-T	TCGA-B6-A0WX-T	TCGA-B6-A0IE-T	TCGA-A7-A6VV-T	TCGA-E2-A1LK-T	TCGA-E2-A573-T	TCGA-C8-A1HJ-N	TCGA-BH-A0BW-T	TCGA-A8-A07C-N	TCGA-AR-A2LH-N	TCGA-S3-AA15-N	TCGA-E2-A1LL-T	TCGA-AR-A2LR-N	TCGA-A7-A6VV-N	TCGA-AQ-A04J-N	TCGA-BH-A18T-T	TCGA-LL-A740-N	TCGA-AO-A0J2-N	TCGA-AR-A1AO-N	TCGA-AN-A0FL-N	TCGA-E2-A1B6-T	TCGA-LL-A5YO-T	TCGA-AN-A0G0-N	TCGA-BH-A0BL-T	TCGA-AN-A0AR-T	TCGA-A2-A0D2-N	TCGA-S3-AA15-T	TCGA-E2-A14R-N	TCGA-E2-A150-N
TCGA-OL-A5D6-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.955926264122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AR-A256-N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.876203137961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-D8-A1JG-N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915197165601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-C8-A12K-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946164083776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AR-A1AI-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.908865193798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AO-A128-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.939951608409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-E2-A1LH-N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915849982757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-PL-A8LZ-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.963309755319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A1-A0SK-N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.901606294886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A2-A0D0-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.889238936207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-AR-A1AQ-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.932544216019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-EW-A1PH-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.899794340287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-A2-A0SX-T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.922489769389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
